fleet,kind,first_seen_at_radius,first_seen_at_window,driver,slug,tail,event_date,event_city,event_state,attendee_class,charlie_present,erika_present,event_arrival_airport,plane_day,day_offset_from_event,plane_airport,plane_airport_name,dist_event_to_plane_airport_mi,altitude_ft,ground_points,first_seen_utc,last_seen_utc,source,n_hits_in_window
KIRK,GROUND,40,5,WINDOW_ONLY,20240319_phoenix,N872RA,2024-03-19,Phoenix,AZ,CHARLIE_ONLY,yes,not_documented,KPHX,2024-03-15,-4,KSDL,Scottsdale Airport,10.6,,11,2024-03-15T14:55:02.920000Z,2024-03-15T14:56:30.640000Z,adsb-lol,4
KIRK,GROUND,40,7,WINDOW_ONLY,20240508_las_vegas,N2100L,2024-05-08,Las Vegas,NV,CHARLIE_ONLY,yes,not_documented,KLAS,2024-05-01,-7,KLAS,Harry Reid International Airport,12.3,,107,2024-05-01T16:48:36.690000Z,2024-05-01T17:03:40.270000Z,adsbexchange-samples,1
KIRK,GROUND,40,3,WINDOW_ONLY,20240508_las_vegas,N560TW,2024-05-08,Las Vegas,NV,CHARLIE_ONLY,yes,not_documented,KLAS,2024-05-05,-3,KLAS,Harry Reid International Airport,12.0,,29,2024-05-05T17:16:23.390000Z,2024-05-05T18:44:11.650000Z,airplanes-live,1
KIRK,GROUND,40,7,WINDOW_ONLY,20240910_boulder,N560TW,2024-09-10,Boulder,CO,CHARLIE_ONLY,yes,not_documented,KBJC,2024-09-03,-7,KAPA,Centennial Airport,38.0,,7,2024-09-03T21:22:06.900000Z,2024-09-03T21:24:04.040000Z,adsb-lol,2
KIRK,GROUND,40,7,WINDOW_ONLY,20240911_denton,N872RA,2024-09-11,Denton,TX,CHARLIE_ONLY,yes,not_documented,KDTO,2024-09-17,6,KDAL,Dallas Love Field,30.7,,1,2024-09-17T17:51:47.970000Z,2024-09-17T17:51:47.970000Z,adsb-lol,2
KIRK,GROUND,40,7,WINDOW_ONLY,20241011_corvallis,N560TW,2024-10-11,Corvallis,OR,CHARLIE_ONLY,yes,not_documented,KCVO,2024-10-18,7,KEUG,Eugene Airport,31.2,,170,2024-10-18T22:26:22.310000Z,2024-10-18T23:45:26.850000Z,adsb-lol,2
KIRK,GROUND,40,3,WINDOW_ONLY,20241016_tucson,N888KG,2024-10-16,Tucson,AZ,CHARLIE_ONLY,yes,not_documented,KTUS,2024-10-19,3,KTUS,Tucson International Airport,4.7,,30,2024-10-19T21:59:36.500000Z,2024-10-19T22:06:24.120000Z,adsb-lol,2
KIRK,GROUND,40,7,WINDOW_ONLY,20241024_las_vegas,N102DZ,2024-10-24,Las Vegas,NV,CHARLIE_ONLY,yes,not_documented,KLAS,2024-10-18,-6,KLAS,Harry Reid International Airport,11.8,,22,2024-10-18T19:38:47.550000Z,2024-10-18T19:46:52.880000Z,adsb-lol,4
KIRK,GROUND,40,3,WINDOW_ONLY,20241028_phoenix,N40JD,2024-10-28,Phoenix,AZ,CHARLIE_ONLY,yes,not_documented,KPHX,2024-10-25,-3,KSDL,Scottsdale Airport,10.8,,25,2024-10-25T19:24:09.950000Z,2024-10-25T19:38:06.800000Z,adsb-lol,2
KIRK,GROUND,40,3,WINDOW_ONLY,20241028_phoenix,N872RA,2024-10-28,Phoenix,AZ,CHARLIE_ONLY,yes,not_documented,KPHX,2024-10-31,3,KSDL,Scottsdale Airport,11.1,,262,2024-10-31T22:48:04.980000Z,2024-10-31T23:23:05.160000Z,airplanes-live,4
