docket_title	substack_file_url
Joint Status Report of the Parties Concerning the Redaction of Portions of the Transcript of the October 24, 2025 Sealed Hearing, 12-4-25	https://andreaburkhart.substack.com/api/v1/file/2035a328-d74d-44cc-98c3-5e165253d8a1.pdf
Return of Electronic Notification, 12-4-25 (Not obtained)	
UOVC Restitution Notice Claim #1113665, 12-5-25	https://andreaburkhart.substack.com/api/v1/file/2617e2f3-c35a-4c15-ba05-4c61b475922a.pdf
Return of Electronic Notification, 12-5-25 (Not obtained)	
Defendant Tyler James Robinson’s Response to the Motion for Limited Intervention of Deseret News, et al. (Dkt 197), 12-8-25	https://andreaburkhart.substack.com/api/v1/file/d32b098a-eedf-4acd-9ecf-0d1741400180.pdf
Return of Electronic Notification, 12-8-25 (Not obtained)	
Request and Order for Electronic Media Coverage of Court Proceedings, 12-8-25	https://andreaburkhart.substack.com/api/v1/file/b76d3bbe-f81b-455f-a678-1d5c77515f7a.pdf
Motion for Leave to File Overlength Memorandum, 12-8-25 (Not obtained)	
Request/Notice to Submit Motion for Leave to File Overlength Memorandum, 12-8-25 (Not obtained)	
Order (Proposed) Granting Motion for Leave to File Overlength Memorandum, 12-8-25 (Not obtained)	
Media Intervenors Memorandum Opposing Stipulated Motion to Classify as Private the Transcript and Audio of October 24, 2025 Hearing, 12-8-25	https://andreaburkhart.substack.com/api/v1/file/8f6eac89-c654-43d6-89da-3ca86d390941.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 12-8-25	https://andreaburkhart.substack.com/api/v1/file/fb1011e5-3415-4a54-9fc3-a3a570490bc4.pdf
Return of Electronic Notification, 12-9-25 (Not obtained)	
Request/Notice to Submit Motion for Limited Intervention, 12-9-25 (Not obtained)	
Order (Proposed) Granting Motion for Limited Intervention, 12-9-25 (Not obtained)	
Defendant Tyler James Robinson’s Reply to Media’s Memorandum Opposing Stipulated Motion to Classify as Private the Transcript and Audio of October 24, 2025, 12-9-25	https://andreaburkhart.substack.com/api/v1/file/6c3d8e5c-cd44-46f6-b376-7344574b1ff9.pdf
State’s Reply Supporting Stipulated Motion to Classify Transcript and Audio as Private, 12-9-25	
Return of Electronic Notification, 12-10-25 (Not obtained)	
**** PRIVATE **** Motion to Classify Motion to Disqualify as Private and Request for Closed Hearing, 12-10-25	
**** PRIVATE **** Request to Submit Motion to Classify Motion to Disqualify as Private and Request for Closed Hearing, 12-10-25	
**** PRIVATE **** Order (Proposed) Order Classifying Motion to Disqualify as Private Pending Closure Hearing, 12-10-25	
**** PRIVATE **** Non-Public Information Motion to Disqualify and Exhibits, 12-10-25	
Return of Electronic Notification, 12-12-25 (not obtained)	
Ruling and Order Granting State’s Motion to Clarify Court’s Pretrial and Trial Publicity Order, 12-15-25	https://andreaburkhart.substack.com/api/v1/file/fc16c126-5152-47c2-b0c9-ef1670c9994d.pdf
Order Granting Motion for Leave to File Overlength Memorandum, 12-15-25 (Not obtained)	
Return of Electronic Notification, 12-15-25 (Not obtained)	
Return of Electronic Notification, 12-16-25 (Not obtained)	
Motion to Order Transcript and Temporarily Classify Transcript and Audio as Private, 12-17-25	https://andreaburkhart.substack.com/api/v1/file/b81d5e41-98c2-43ed-9577-5ba267c38c97.pdf
Request/Notice to Submit Request to Submit Motion to Order Transcript and Temporarily Classify (Dec 11 2025 Hearing), 12-17-25 (Not obtained)	
(Proposed) Order on Motion to Order Transcript and Temporarily Classify (Dec 11 2025 Hearing), 12-17-25 (Not obtained)	
Return of Electronic Notification, 12-17-25 (Not obtained)	
(Public Version) Motion to Disqualify, 12-17-25	https://andreaburkhart.substack.com/api/v1/file/da482a5c-24b4-47e2-9faa-98ffd2e82098.pdf
Order on Motion to Order Transcript and Temporarily Classify (Dec. 11, 2025 Hearing), 12-19-25 (Not obtained)	
Return of Electronic Notification, 12-19-25 (Not obtained)	
Order Classifying Motion to Disqualify as Private Pending Closure Hearing, 12-19-25 (Not obtained)	
**** PRIVATE **** TRANSADMIN TRANSCRIPT for Hearing 12-11-2025, 12-19-25 (Not obtained)	
Return of Electronic Notification, 12-20-25 (Not obtained)	
Certificate of Service, 12-22-25 (Not obtained)	
Return of Electronic Notification, 12-22-25 (Not obtained)	
Request and Order for Electronic Media Coverage of Court Proceedings, 12-23-25	https://andreaburkhart.substack.com/api/v1/file/3f25a9a6-ea7f-4ddd-aff3-b25f2f276ee6.pdf
Return of Electronic Notification, 12-24-25 (Not obtained)	
(Omitted from docket - no item #262)	
REVIEW/ORAL ARGUMENT, 12-24-25	https://andreaburkhart.substack.com/api/v1/file/1a0f2948-be7f-476e-833b-f7b6b525f643.pdf
Return of Electronic Notification, 12-25-25 (Not obtained)	
(Previously omitted) Standing Decorum Order Effective December 23, 2025, 12-23-25 (Not obtained)	
Ruling and Order re Stipulated Motion to Classify Transcript and Audio as Private, 12-29-25	https://andreaburkhart.substack.com/api/v1/file/6ffe6f26-085b-400a-92f1-f10ad6100f98.pdf
Order Denying the Media’s Request to Intervene, and Standing Order for Rule 4-202.04 Notice of Motions for Classification, 12-29-25	https://andreaburkhart.substack.com/api/v1/file/07006b0e-93fc-447f-93a7-f9dd52396e68.pdf
Transcript of October 24, 2025 Hearing (Redacted Transcript), 12-29-25	https://andreaburkhart.substack.com/api/v1/file/fb25b527-dd12-4b5b-9194-33ee893ef346.pdf
Not Signed Order (Proposed) Granting Motion for Limited Intervention, 12-29-25 (Not obtained)	
Return of Electronic Notification, 12-29-25 (Not obtained)	
Return of Electronic Notification, 12-30-25 (Not obtained)	
(Omitted from docket - no item #272)	
(Omitted from docket - no item #273)	
Return of Electronic Notification, 1-1-26 (Not obtained)	
Request/Notice to Submit Request to Submit Motion for Overlength Memo (Opp to Mot to Disq), 1-5-26 (Not obtained)	
Motion for Leave to File Overlength Memorandum, 1-5-26 (Not obtained)	
Proposed Order Granting Leave to Fil Overlength Memo (Opp to Mot to Disq), 1-5-26 (Not obtained)	
Return of Electronic Notification, 1-5-26 (Not obtained)	
