docket_no	title	file_id	embed_label	size	url
169	Defendant Tyler James Robinson s Response to Request for Notice of Motion to Close Judicial Proceedings and Records, 11-10-25	8aa73f57-79a1-411d-8977-9323a17a0bed	11 10 25 Defendant's Response To Request For Notice	192KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8aa73f57-79a1-411d-8977-9323a17a0bed.pdf
171	Order Requiring Parties to Serve All Closure of Reclassification Motions on the Media, 11-13-25	cd6d864c-ac14-4a06-ab6b-94571ba8f823	11 10 25 Order Requiring Service Of Motions On Media	255KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/cd6d864c-ac14-4a06-ab6b-94571ba8f823.pdf
172	Order for Transcript of October 24, 2025 Hearing, 11-13-25	9e7215ff-98ec-4958-a5ce-a6e02fe690fd	11 13 25 Order For Transcript Of October 24, 2025 Hearing	198KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/9e7215ff-98ec-4958-a5ce-a6e02fe690fd.pdf
173	Media’s Notice of Service re Motion to Classify Transcript and Audio Filed November 3, 2025, 11-13-25	6a7caa98-d97c-4db6-aaaf-ea91b4a8b2cb	11 13 25 Motion To Reclassify Transcript	190KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6a7caa98-d97c-4db6-aaaf-ea91b4a8b2cb.pdf
177	Approved Request and Order for Electronic Media Coverage of Court Proceedings, 11-14-25	b2d2495e-5f44-4b4c-b2e2-8d3b2b61e786	11 13 25 Approved Request And Order For Electronic Media Coverage	123KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b2d2495e-5f44-4b4c-b2e2-8d3b2b61e786.pdf
178	Not Signed Order (Proposed) Granting Motion to Order Transcript and Classify, 11-14-25	1baa2009-69b5-4c72-8509-60b97659fa37	11 14 25 Not Signed Proposed Order Reclassifying Transcript	63.1KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1baa2009-69b5-4c72-8509-60b97659fa37.pdf
181	Request and Order for Electronic Media Coverage of Court Proceedings, 11-14-25	f0b798d0-7cfc-427b-ac43-1d5a6afb6a89	11 17 25 Request And Order For Electronic Media Coverage	123KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f0b798d0-7cfc-427b-ac43-1d5a6afb6a89.pdf
185	Defendant Tyler James Robinson’s Response to Proposed Media Intervenors Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-19-25	9119f8b7-99de-4ca3-acbc-5379ed75affe	11 19 25 Defendant's Response To Motion For Intervention And Notice	192KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/9119f8b7-99de-4ca3-acbc-5379ed75affe.pdf
187	State’s Response to Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-19-25	4c1f4a1f-a77a-4deb-8e4c-5f92a3a3f48e	11 19 25 State's Response To Motion For Limited Intervention And Request For Notice	195KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4c1f4a1f-a77a-4deb-8e4c-5f92a3a3f48e.pdf
189	Notice for Case 251403576, 11-20-25	395e8c78-185e-4e82-a706-727b27e9d0d8	11 20 25 Notice Of In Person Review Hearing	21.1KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/395e8c78-185e-4e82-a706-727b27e9d0d8.pdf
