docket_seq	document_name_and_date	embed_title	size	pdf_url
357	Attachment F, 1-30-26	1 30 26 Attachment F	1.99MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/05c9d977-32a9-46b5-87b0-ac0f4b184c10.pdf
358	Attachment G, 1-30-26	1 30 26 Attachment G	4.48MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e724be25-6360-4cfa-88ea-16013589a1ba.pdf
359	Return of Electronic Notification, 1-30-26 (Not obtained)			
360	Attachment H, 1-30-26	1 30 26 Attachment H	5.36MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b07e1145-662a-46fa-88aa-2d21eb8d32c0.pdf
361	Attachment H, 1-30-26 (*Not a duplicate, the item is misnumbered*)	1 30 26 Attachment H Misnumbered	3.69MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6661f07e-e6fb-4ef1-999b-32184875ae6c.pdf
362	Return of Electronic Notification, 1-30-26 (Not obtained)			
363	State’s Opposition to Defendant’s Renewed Request to Refer the Motion to Disqualify to the Utah Attorney General, 2-2-26	2 2 26 Opposition To Renewed Request Re Ag	228KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/be4f17cb-1acd-4e53-996f-93bf8e392046.pdf
364	Return of Electronic Notification, 2-2-26 (Not obtained)			
365	Proffer of Facts re Closure of Portions of Evidentiary Hearing on Motion to Disqualify UCAO, 2-2-26	2 2 26 Proffer Re Closure Of Portions Of Evidentiary Hearing	176KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/b16f249c-7d31-461c-a3ca-ad812badf47b.pdf
366	Return of Electronic Notification, 2-2-26 (Not obtained)			
367	Notice Concerning Media Access, 2-2-26	2 2 26 Notice Concerning Media Access	105KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/5f56b82f-aa8c-4045-9a16-38ad887c4c4a.pdf
368	Return of Electronic Notification, 2-2-26 (Not obtained)			
369	Order for Transport, 2-3-26	2 3 26 Order For Transport	132KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ccd8bd8d-f6f9-41ba-a785-84829d2a2393.pdf
