filename,bytes,docket_label,source_url
2025-11-21_dkt_Request_and_Order_for_Electronic_Media_Coverage_of_Court_Proceedings_01.pdf,111723,"Request and Order for Electronic Media Coverage of Court Proceedings, 11-21-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/37465370-77b3-439f-bf91-e81f7fcc7df3.pdf
2025-11-21_dkt_Request_and_Order_for_Electronic_Media_Coverage_of_Court_Proceedings_02.pdf,126647,"Request and Order for Electronic Media Coverage of Court Proceedings, 11-21-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/e2721a6c-2610-4e95-89ee-79b769a309a7.pdf
2025-11-24_dkt_Motion_for_Limited_Intervention.pdf,194358,"Motion for Limited Intervention, 11-24-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/9479186a-47db-4d10-b135-a4e9dd1d3192.pdf
2025-11-26_dkt_Reply_in_Support_of_Motion_for_Limited_Intervention_Proposed_Media_Intervenors.pdf,226712,"Reply in Support of Motion for Limited Intervention (Proposed Media Intervenors), 11-26-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/59f92197-6e7a-446d-ae98-8432b19b2b9f.pdf
2025-11-28_dkt_Reply_Supporting_State_s_Motion_to_Amend_or_Clarify_Court_s_Pre_Trial_and_Trial_Publicity_.pdf,216048,"Reply Supporting State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-28-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/0772be98-2e34-49ac-b054-45ddd0b69713.pdf
2025-12-04_dkt_Joint_Status_Report_of_the_Parties_Concerning_the_Redaction_of_Portions_of_the_Transcript_.pdf,207579,"Joint Status Report of the Parties Concerning the Redaction of Portions of the Transcript of the October 24, 2025 Sealed Hearing, 12-4-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/2035a328-d74d-44cc-98c3-5e165253d8a1.pdf
2025-12-05_dkt_UOVC_Restitution_Notice_Claim_1113665.pdf,50913,"UOVC Restitution Notice Claim #1113665, 12-5-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/2617e2f3-c35a-4c15-ba05-4c61b475922a.pdf
2025-12-08_dkt_Defendant_Tyler_James_Robinson_s_Response_to_the_Motion_for_Limited_Intervention_of_Desere.pdf,228986,"Defendant Tyler James Robinson’s Response to the Motion for Limited Intervention of Deseret News, et al. (Dkt 197), 12-8-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/d32b098a-eedf-4acd-9ecf-0d1741400180.pdf
2025-12-08_dkt_Media_Intervenors_Memorandum_Opposing_Stipulated_Motion_to_Classify_as_Private_the_Transcr.pdf,292142,"Media Intervenors Memorandum Opposing Stipulated Motion to Classify as Private the Transcript and Audio of October 24, 2025 Hearing, 12-8-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/8f6eac89-c654-43d6-89da-3ca86d390941.pdf
2025-12-08_dkt_Request_and_Order_for_Electronic_Media_Coverage_of_Court_Proceedings_01.pdf,130680,"Request and Order for Electronic Media Coverage of Court Proceedings, 12-8-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/b76d3bbe-f81b-455f-a678-1d5c77515f7a.pdf
