tail,utc_date,arrive_utc_date,gap_days,origin,origin_name,origin_km_from_field,depart_after_utc,dest,dest_name,dest_km_from_field,arrive_by_utc,archives,ledger_verdict,arrive_day_verdict,unobserved_days_inside_leg,recovered_from_backup_only,crosses_utc_midnight,confidence,near_sourced_event
N102DZ,2023-03-01,2023-03-01,0,KPDK,DeKalb Peachtree Airport,0.41,2023-03-01T17:36:29.580000Z,KTEB,Teterboro Airport,0.18,2023-03-01T19:16:34.840000Z,adsbexchange-samples|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N102DZ,2023-03-02,2023-03-23,21,KTEB,Teterboro Airport,1.23,2023-03-02T17:54:35.980000Z,KCNO,Chino Airport,1.06,2023-03-23T17:41:30.900000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,20,no,yes,GAP -- aircraft unobserved for 20 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-LUFTHANSA,2023-03-03,2023-03-03,0,EDDH,Hamburg Helmut Schmidt Airport,0.73,2023-03-03T11:07:18.910000Z,EBBR,Brussels Airport,0.54,2023-03-03T14:58:12.520000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2023-03-03,2023-03-03,0,EBBR,Brussels Airport,0.54,2023-03-03T15:51:40.070000Z,LSZH,Zürich Airport,1.04,2023-03-03T18:24:29.390000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2023-03-03,2023-03-14,11,LSZH,Zürich Airport,1.63,2023-03-03T19:19:45.320000Z,LBSF,Sofia Airport,0.75,2023-03-14T20:40:32.010000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,10,no,yes,GAP -- aircraft unobserved for 10 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N872RA,2023-03-03,2023-03-03,0,KSNA,John Wayne Orange County International Airport,0.74,2023-03-03T14:07:38.240000Z,KSJC,Mineta San Jose International Airport,0.4,2023-03-03T20:11:00.830000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
N872RA,2023-03-03,2023-03-10,7,KSJC,Mineta San Jose International Airport,0.97,2023-03-03T23:17:56.710000Z,KTRM,Jacqueline Cochran Regional Airport,0.34,2023-03-10T19:06:07.480000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,6,no,yes,GAP -- aircraft unobserved for 6 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N582MM,2023-03-08,2023-03-21,13,KIWA,Mesa Gateway Airport,1.63,2023-03-08T18:47:35.180000Z,KTKI,McKinney National Airport,0.5,2023-03-21T17:08:13.630000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,12,no,yes,GAP -- aircraft unobserved for 12 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
N872RA,2023-03-10,2023-03-11,1,KTRM,Jacqueline Cochran Regional Airport,0.34,2023-03-10T19:06:12.460000Z,KOAK,Oakland San Francisco Bay Airport,1.13,2023-03-11T20:43:53.180000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
N872RA,2023-03-12,2023-03-14,2,KOAK,Oakland San Francisco Bay Airport,1.99,2023-03-12T00:02:59.740000Z,KSNA,John Wayne Orange County International Airport,0.22,2023-03-14T16:01:23.050000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,1,no,yes,GAP -- aircraft unobserved for 1 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
SU-BGM,2023-03-13,2023-08-01,141,LIRA,Ciampino–G. B. Pastine International Airport,0.23,2023-03-13T10:59:26Z,HEAZ,Almaza Air Force Base,0.62,2023-08-01T06:05:58.270000Z,adsb-lol|adsbexchange-samples,BOTH_HAVE_IT,HELD_BY_ADSBEXCHANGE-SAMPLES,140,yes,yes,GAP -- aircraft unobserved for 140 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
SU-BTU,2023-03-13,2023-05-01,49,KILG,Wilmington Airport,0.6,2023-03-13T16:40:08.120000Z,KBGR,Bangor International Airport,0.42,2023-05-01T17:49:35.070000Z,adsb-lol|adsbexchange-samples|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,48,no,yes,GAP -- aircraft unobserved for 48 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-LUFTHANSA,2023-03-14,2023-03-15,1,LBSF,Sofia Airport,0.75,2023-03-14T20:40:32.010000Z,EDDM,Munich Airport,1.24,2023-03-15T05:56:18.210000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
N872RA,2023-03-14,2023-03-15,1,KSNA,John Wayne Orange County International Airport,0.22,2023-03-14T16:28:04.600000Z,KOAK,Oakland San Francisco Bay Airport,0.89,2023-03-15T03:38:07.310000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,yes,overnight,
CONTROL-LUFTHANSA,2023-03-15,2023-03-15,0,EDDM,Munich Airport,1.24,2023-03-15T05:56:18.210000Z,EGBB,Birmingham Airport,0.62,2023-03-15T09:46:09.690000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-LUFTHANSA,2023-03-15,2023-03-15,0,EGBB,Birmingham Airport,0.62,2023-03-15T09:48:13.160000Z,EDDH,Hamburg Helmut Schmidt Airport,0.64,2023-03-15T14:42:02.880000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
