sweep_date,tail,source,circle_key,circle_kind,city,state,event_date,offset_days,who,points_in_circle,on_ground_in_circle,min_dist_mi,ground_lat,ground_lon,passed_geo_sweep_prefilter,trace_file
2025-09-20,N102DZ,airplanes-live,20250921_glendale,event,Glendale,AZ,2025-09-21,-1,Erika,162,True,15.47,33.620887,-111.912847,False,N102DZ/data/recovered/N102DZ_2025-09-20_airplanes-live_trace_full.json.gz
2025-09-20,N40JD,adsb-lol,20250921_glendale,event,Glendale,AZ,2025-09-21,-1,Erika,307,True,4.47,33.622307,-111.908952,True,N40JD/data/recovered/N40JD_2025-09-20_adsb-lol_trace_full.json.gz
2025-09-20,N40JD,airplanes-live,20250921_glendale,event,Glendale,AZ,2025-09-21,-1,Erika,344,True,4.47,33.622307,-111.908952,True,N40JD/data/recovered/N40JD_2025-09-20_airplanes-live_trace_full.json.gz
2025-09-21,N40JD,adsb-lol,20250921_glendale,event,Glendale,AZ,2025-09-21,0,Erika,66,False,5.41,,,True,N40JD/data/recovered/N40JD_2025-09-21_adsb-lol_trace_full.json.gz
2025-09-21,N40JD,airplanes-live,20250921_glendale,event,Glendale,AZ,2025-09-21,0,Erika,100,False,5.43,,,True,N40JD/data/recovered/N40JD_2025-09-21_airplanes-live_trace_full.json.gz
2025-09-21,N560TW,adsb-lol,20250921_glendale,event,Glendale,AZ,2025-09-21,0,Erika,362,True,17.05,33.625147,-111.90794,True,N560TW/data/recovered/N560TW_2025-09-21_adsb-lol_trace_full.json.gz
2025-09-21,N560TW,airplanes-live,20250921_glendale,event,Glendale,AZ,2025-09-21,0,Erika,308,True,17.05,33.625147,-111.90794,True,N560TW/data/recovered/N560TW_2025-09-21_airplanes-live_trace_full.json.gz
2025-09-21,N560TW,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,45,False,7.4,,,True,N560TW/data/recovered/N560TW_2025-09-21_adsb-lol_trace_full.json.gz
2025-09-21,N560TW,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,40,False,7.39,,,True,N560TW/data/recovered/N560TW_2025-09-21_airplanes-live_trace_full.json.gz
2025-09-22,N102DZ,adsb-lol,20250921_glendale,event,Glendale,AZ,2025-09-21,1,Erika,229,True,16.51,33.61916,-111.916323,True,N102DZ/data/recovered/N102DZ_2025-09-22_adsb-lol_trace_full.json.gz
2025-09-22,N102DZ,airplanes-live,20250921_glendale,event,Glendale,AZ,2025-09-21,1,Erika,224,True,16.51,33.61916,-111.916323,True,N102DZ/data/recovered/N102DZ_2025-09-22_airplanes-live_trace_full.json.gz
2025-09-22,N102DZ,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,31,False,1.67,,,True,N102DZ/data/recovered/N102DZ_2025-09-22_adsb-lol_trace_full.json.gz
2025-09-22,N102DZ,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,52,False,2.47,,,True,N102DZ/data/recovered/N102DZ_2025-09-22_airplanes-live_trace_full.json.gz
2025-09-22,N40JD,adsb-lol,20250921_glendale,event,Glendale,AZ,2025-09-21,1,Erika,300,True,13.16,33.621213,-111.912489,True,N40JD/data/recovered/N40JD_2025-09-22_adsb-lol_trace_full.json.gz
2025-09-22,N40JD,airplanes-live,20250921_glendale,event,Glendale,AZ,2025-09-21,1,Erika,265,True,13.16,33.621213,-111.912489,True,N40JD/data/recovered/N40JD_2025-09-22_airplanes-live_trace_full.json.gz
2025-09-22,N560TW,adsb-lol,20250921_glendale,event,Glendale,AZ,2025-09-21,1,Erika,666,True,13.44,33.622524,-111.909233,True,N560TW/data/recovered/N560TW_2025-09-22_adsb-lol_trace_full.json.gz
2025-09-22,N560TW,airplanes-live,20250921_glendale,event,Glendale,AZ,2025-09-21,1,Erika,636,True,13.44,33.622707,-111.909415,True,N560TW/data/recovered/N560TW_2025-09-22_airplanes-live_trace_full.json.gz
