sweep_date,circle_key,circle_kind,city,state,event_date,offset_days,who,entering,on_ground,notable_ground_all,notable_ground_excl_airliner
2023-07-12,20230713_west_palm_beach,event,West Palm Beach,FL,2023-07-13,-1,Charlie,784,0,0,0
2023-07-12,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1017,133,18,16
2023-07-12,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,962,0,0,0
2023-07-12,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,529,0,0,0
2023-07-12,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,689,0,0,0
2023-07-12,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,502,17,7,7
2023-07-12,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,833,0,0,0
2023-07-13,20230712_west_palm_beach,event,West Palm Beach,FL,2023-07-12,1,Charlie,843,0,0,0
2023-07-13,20230713_west_palm_beach,event,West Palm Beach,FL,2023-07-13,0,Charlie,843,0,0,0
2023-07-13,20230714_west_palm_beach,event,West Palm Beach,FL,2023-07-14,-1,Charlie,843,0,0,0
2023-07-13,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,989,160,26,23
2023-07-13,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1105,0,0,0
2023-07-13,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,877,0,0,0
2023-07-13,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,854,0,0,0
2023-07-13,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,551,27,9,9
2023-07-13,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,644,0,0,0
2023-07-14,20230713_west_palm_beach,event,West Palm Beach,FL,2023-07-13,1,Charlie,857,0,0,0
