date,key,kind,city,state,entering,on_ground,tracked_fleet,milgov,foreign_civil,unregistered,tisb_artifact,pia_only,ladd_only,other
2023-09-13,control_des_moines,control,Des Moines,IA,876,0,0,0,0,0,0,0,0,0
2023-09-13,control_shreveport,control,Shreveport,LA,694,0,0,0,0,0,0,0,0,0
2023-09-13,control_spokane,control,Spokane,WA,496,17,0,0,0,0,0,0,2,0
2023-09-13,control_syracuse,control,Syracuse,NY,733,0,0,0,0,0,0,0,0,0
2023-09-14,20230913_san_diego,event,San Diego,CA,1748,220,1,9,0,6,1,0,21,0
2023-09-14,20230914_san_diego,event,San Diego,CA,1748,220,1,9,0,6,1,0,21,0
2023-09-14,20230915_san_diego,event,San Diego,CA,1748,220,1,9,0,6,1,0,21,0
2023-09-14,control_albuquerque,control,Albuquerque,NM,1102,124,0,9,0,1,0,0,5,0
2023-09-14,control_chattanooga,control,Chattanooga,TN,1042,0,0,0,0,0,0,0,0,0
2023-09-14,control_des_moines,control,Des Moines,IA,1001,0,0,0,0,0,0,0,0,0
2023-09-14,control_shreveport,control,Shreveport,LA,815,0,0,0,0,0,0,0,0,0
2023-09-14,control_spokane,control,Spokane,WA,486,17,0,0,0,0,0,0,5,0
2023-09-14,control_syracuse,control,Syracuse,NY,851,0,0,0,0,0,0,0,0,0
2023-09-15,20230914_san_diego,event,San Diego,CA,1557,249,0,21,0,7,2,0,17,0
2023-09-15,20230915_san_diego,event,San Diego,CA,1557,249,0,21,0,7,2,0,17,0
2023-09-15,control_albuquerque,control,Albuquerque,NM,1072,137,0,15,0,0,0,0,4,0
2023-09-15,control_chattanooga,control,Chattanooga,TN,1025,0,0,0,0,0,0,0,0,0
2023-09-15,control_des_moines,control,Des Moines,IA,922,0,0,0,0,0,0,0,0,0
2023-09-15,control_shreveport,control,Shreveport,LA,924,1,0,0,0,0,0,0,0,0
2023-09-15,control_spokane,control,Spokane,WA,476,19,0,0,0,0,0,0,2,0
2023-09-15,control_syracuse,control,Syracuse,NY,882,0,0,0,0,0,0,0,0,0
2023-09-16,20230915_san_diego,event,San Diego,CA,999,170,0,5,0,2,1,0,11,0
2023-09-16,control_albuquerque,control,Albuquerque,NM,912,122,0,4,0,0,0,0,4,0
2023-09-16,control_chattanooga,control,Chattanooga,TN,760,0,0,0,0,0,0,0,0,0
2023-09-16,control_des_moines,control,Des Moines,IA,831,0,0,0,0,0,0,0,0,0
2023-09-16,control_shreveport,control,Shreveport,LA,849,0,0,0,0,0,0,0,0,0
2023-09-16,control_spokane,control,Spokane,WA,462,17,0,0,0,0,0,0,0,0
2023-09-16,control_syracuse,control,Syracuse,NY,653,0,0,0,0,0,0,0,0,0
2023-09-20,20230919_flagstaff,event,Flagstaff,AZ,812,0,0,0,0,0,0,0,0,0
