tail,date,file_date,dated_from_previous_utc_day,airport_code,airport_name,airport_city,median_km_from_field,ground_points,first_seen_utc,last_seen_utc,lat,lon,type,registration,sources,archives_agreeing,nearest_event_city,nearest_event_state,nearest_event_date,nearest_event_who,nearest_event_title,charlie_present,erika_present,event_offset_days,miles_to_event_city,within_50mi,same_day,event_page
CONTROL-LUFTHANSA,2023-02-10,2023-02-10,False,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,0.65,132,2023-02-10T18:29:37.670000Z,2023-02-10T19:17:25.800000Z,53.63026,9.99812,A319,D-AIBD,airplanes-live,1,,,,,,,,,,no,no,
N872RA,2023-02-10,2023-02-10,False,KMRY,Monterey Regional Airport,Monterey,0.68,13,2023-02-10T19:12:20.690000Z,2023-02-10T19:13:48.810000Z,36.58903,-121.85127,BE40,N872RA,airplanes-live,1,,,,,,,,,,no,no,
N872RA,2023-02-10,2023-02-10,False,KSAN,San Diego International Airport,San Diego,0.51,46,2023-02-10T21:08:59.730000Z,2023-02-10T21:13:40.320000Z,32.73268,-117.18462,BE40,N872RA,airplanes-live,1,,,,,,,,,,no,no,
N872RA,2023-02-10,2023-02-10,False,KSAN,San Diego International Airport,San Diego,1.08,9,2023-02-10T23:25:41.840000Z,2023-02-10T23:33:26.110000Z,32.7334,-117.17843,BE40,N872RA,airplanes-live,1,,,,,,,,,,no,no,
N872RA,2023-02-10,2023-02-10,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.2,75,2023-02-10T15:54:22.420000Z,2023-02-10T16:24:53.920000Z,33.67582,-117.87122,BE40,N872RA,airplanes-live,1,,,,,,,,,,no,no,
SU-BTV,2023-02-13,2023-02-13,False,KILG,Wilmington Airport,Wilmington,1.0,4,2023-02-13T13:10:11.600000Z,2023-02-13T13:10:26.750000Z,39.67,-75.60375,FA7X,SU-BTV,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-24,2023-02-24,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,3.04,29,2023-02-24T03:27:04.150000Z,2023-02-24T03:34:26.360000Z,40.46637,-3.56672,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-24,2023-02-24,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,0.64,70,2023-02-24T05:44:23.720000Z,2023-02-24T05:54:16.970000Z,40.48857,-3.57643,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-24,2023-02-24,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,2.38,74,2023-02-24T10:33:40.920000Z,2023-02-24T10:45:04.350000Z,40.47228,-3.56745,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-24,2023-02-24,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,3.39,117,2023-02-24T11:38:50.400000Z,2023-02-24T11:56:50.490000Z,40.46297,-3.56968,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-24,2023-02-24,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,3.27,49,2023-02-24T15:08:59.900000Z,2023-02-24T15:13:15.500000Z,40.46436,-3.566,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-24,2023-02-24,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,3.04,111,2023-02-24T16:04:54.470000Z,2023-02-24T16:21:23.030000Z,40.4663,-3.56787,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-24,2023-02-24,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,2.34,58,2023-02-24T22:26:57.090000Z,2023-02-24T22:36:52.490000Z,40.4728,-3.56682,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-24,2023-02-24,False,LIME,Il Caravaggio International Airport,Orio al Serio (BG),1.27,7,2023-02-24T08:33:20.020000Z,2023-02-24T08:33:41.240000Z,45.66473,9.72384,B738,EI-EFZ,adsb-lol,1,,,,,,,,,,no,no,
T7-ELL,2023-02-24,2023-02-24,False,EGKB,London Biggin Hill Airport,London,0.86,13,2023-02-24T11:55:02.130000Z,2023-02-24T11:56:22.020000Z,51.33802,0.03672,GLEX,T7-ELL,adsb-lol|airplanes-live,2,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-25,2023-02-25,False,EBBR,Brussels Airport,Zaventem,0.49,14,2023-02-25T14:44:25.250000Z,2023-02-25T14:47:28.710000Z,50.90492,4.48858,B738,EI-EFZ,adsb-lol|airplanes-live,2,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-25,2023-02-25,False,EBBR,Brussels Airport,Zaventem,0.67,24,2023-02-25T15:34:19.720000Z,2023-02-25T15:39:18.460000Z,50.90514,4.49185,B738,EI-EFZ,adsb-lol|airplanes-live,2,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-25,2023-02-25,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,0.76,79,2023-02-25T05:09:46.590000Z,2023-02-25T05:22:51.280000Z,40.48714,-3.57578,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-25,2023-02-25,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,2.86,27,2023-02-25T11:19:44.660000Z,2023-02-25T11:23:48.720000Z,40.468,-3.56664,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-25,2023-02-25,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,1.23,93,2023-02-25T12:32:48.460000Z,2023-02-25T12:46:40.010000Z,40.48301,-3.56729,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-RYANAIR,2023-02-25,2023-02-25,False,LEMD,Adolfo Suárez Madrid–Barajas Airport,Madrid,1.32,53,2023-02-25T17:35:30.880000Z,2023-02-25T17:44:51.370000Z,40.48223,-3.56706,B738,EI-EFZ,airplanes-live,1,,,,,,,,,,no,no,
