tail,date_utc,callsign,from_icao,from_place,from_state,to_icao,to_place,to_state,off_utc,on_utc,status,us_leg,us_end,path_positions,path_max_altitude_ft,path_first_utc,path_last_utc
SU-BTT,2024-02-14,SU-BTT,KLNK,Lincoln,NE,KILG,Wilmington,DE,2024-02-14T14:38:35Z,2024-02-14T16:41:54Z,Arrived,yes,both,253,41000,2024-02-14T14:38:35Z,2024-02-14T16:38:44Z
SU-BTT,2024-02-16,SU-BTT,KILG,Wilmington,DE,HEAZ,El Nozha,C,2024-02-16T13:04:09Z,2024-02-16T13:04:09Z,result unknown,yes,departure,845,43000,2024-02-16T13:04:09Z,2024-02-16T23:05:17Z
SU-BTT,2024-03-29,SU-BTT,LFPB,Paris,IDF,KICT,Wichita,KS,2024-03-29T10:02:06Z,2024-03-29T19:20:11Z,Arrived,yes,arrival,575,43000,2024-03-29T10:02:06Z,2024-03-29T19:19:33Z
SU-BTT,2024-04-03,SU-BTT,KICT,Wichita,KS,KILG,Wilmington,DE,2024-04-03T13:43:22Z,2024-04-03T16:06:22Z,Arrived,yes,both,300,41000,2024-04-03T13:43:22Z,2024-04-03T16:05:33Z
SU-BTT,2024-04-05,SU-BTT,KILG,Wilmington,DE,HEMM,Marsa Matruh,MT,2024-04-05T11:56:31Z,2024-04-05T11:56:31Z,result unknown,yes,departure,857,45000,2024-04-05T11:56:31Z,2024-04-05T22:11:05Z
SU-BND,2024-04-19,SU-BND,CYYR,Goose Bay,NL,KSLC,Salt Lake City,UT,2024-04-19T14:41:52Z,2024-04-19T20:02:39Z,Arrived,yes,arrival,586,43000,2024-04-19T14:41:52Z,2024-04-19T20:02:02Z
SU-BND,2024-04-19,SU-BND,KSLC,Salt Lake City,UT,KPVU,Provo,UT,2024-04-19T21:10:22Z,2024-04-19T21:34:07Z,Arrived,yes,both,63,11900,2024-04-19T21:10:22Z,2024-04-19T21:33:14Z
SU-BTT,2024-04-23,SU-BTT,LFPB,Paris,IDF,KXWA,Williston,ND,2024-04-23T06:52:34Z,2024-04-23T15:18:13Z,Arrived,yes,arrival,528,43000,2024-04-23T06:52:34Z,2024-04-23T15:17:16Z
SU-BTT,2024-04-23,SU-BTT,KXWA,Williston,ND,KPVU,Provo,UT,2024-04-23T16:36:49Z,2024-04-23T18:13:20Z,Arrived,yes,both,208,38000,2024-04-23T16:36:49Z,2024-04-23T18:12:43Z
SU-BTT,2024-04-28,SU-BTT,KPVU,Provo,UT,KILG,Wilmington,DE,2024-04-28T13:55:09Z,2024-04-28T17:42:05Z,Arrived,yes,both,473,45000,2024-04-28T13:55:09Z,2024-04-28T17:41:20Z
